Year,Response,ec_hours,hw_hours,pressure,activity
5th,287,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,288,5,1,2,"Team Sports (Hurling,Soccer etc)"
5th,289,2,3.5,1,"Artistic (Painting, Drawing etc)"
5th,290,5,0.5,1,"Team Sports (Hurling,Soccer etc);Gym"
5th,291,2,1,1,"Drama/acting (Dance, Performance etc)"
5th,292,5,0.5,2,"Solo Sports (Tennis, Rowing etc);Academic (Chess, Debating etc)"
5th,293,3,1,1,"Team Sports (Hurling,Soccer etc)"
5th,294,5,0.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
5th,295,5,0.5,1,Gym and soccer 
5th,296,5,2,1,"Team Sports (Hurling,Soccer etc)"
5th,297,5,0.5,1,"Team Sports (Hurling,Soccer etc)"
5th,298,5,1,1,Mountain Biking
5th,299,5,2,3,"Team Sports (Hurling,Soccer etc)"
5th,300,5,0.5,2,"Team Sports (Hurling,Soccer etc)"
5th,301,1,0.5,3,"Academic (Chess, Debating etc)"
5th,302,5,0.5,2,"Team Sports (Hurling,Soccer etc);Scouts"
5th,303,4,2,5,"Team Sports (Hurling,Soccer etc)"
